month,time,taxa,abundance
May-97,5,Nematom,104.8
May-97,5,Copepod,104.8
Jun-97,6,Farrode,52.4
Jun-97,6,Hexacyl,157.2
Jun-97,6,Macronema,52.4
Jun-97,6,Ceratop,52.4
Jun-97,6,Xestoch,104.8
Jun-97,6,Tanytar,576.4
Jun-97,6,Chirono,681.2
Jun-97,6,Tanypod,1414.8
Jun-97,6,Ephydridae,52.4
Jun-97,6,Crab,52.4
Jul-97,7,Farrode,524
Jul-97,7,Anacron,366.8
Jul-97,7,Hetera,104.8
Jul-97,7,Epigomp,314.4
Jul-97,7,Austrolim,52.4
Jul-97,7,Hexacyl,104.8
Jul-97,7,Xenelm,52.4
Jul-97,7,Phylloi,157.2
Jul-97,7,Banyall,52.4
Jul-97,7,Macronema,366.8
Jul-97,7,Macroste,52.4
Jul-97,7,Neotric,52.4
Jul-97,7,Chimarr,576.4
Jul-97,7,Tipuli,157.2
Jul-97,7,Hexatom,733.6
Jul-97,7,Ceratop,7336
Jul-97,7,Xestoch,786
Jul-97,7,Tanytar,4768.4
Jul-97,7,Chirono,5240
Jul-97,7,Ortochl,681.2
Jul-97,7,Tanypod,2358
Jul-97,7,Ephydridae,52.4
Jul-97,7,Acari,209.6
Jul-97,7,Sphaeri,52.4
Jul-97,7,Oligoch,419.2
Jul-97,7,Nematom,104.8
Jul-97,7,Copepod,157.2
Aug-97,8,America,52.4
Aug-97,8,Farrode,157.2
Aug-97,8,Epigomp,209.6
Aug-97,8,Phylloi,104.8
Aug-97,8,Hexatom,104.8
Aug-97,8,Ceratop,471.6
Aug-97,8,Xestoch,104.8
Aug-97,8,Tanytar,262
Aug-97,8,Chirono,1886.4
Aug-97,8,Ortochl,157.2
Aug-97,8,Tanypod,1048
Aug-97,8,Oligoch,104.8
Aug-97,8,Nematom,52.4
Set-97,9,Farrode,314.4
Set-97,9,Epigomp,262
Set-97,9,Phyllog,104.8
Set-97,9,Gyrete ,52.4
Set-97,9,Banyall,104.8
Set-97,9,Tipuli,52.4
Set-97,9,Ceratop,1414.8
Set-97,9,Tanytar,471.6
Set-97,9,Chirono,1048
Set-97,9,Ortochl,1624.4
Set-97,9,Tanypod,1624.4
Set-97,9,Acari,52.4
Set-97,9,Sphaeri,52.4
Set-97,9,Oligoch,104.8
Oct-97,10,Farrode,366.8
Oct-97,10,Epigomp,104.8
Oct-97,10,Hexacyl,104.8
Oct-97,10,Coleopt,104.8
Oct-97,10,Phylloi,52.4
Oct-97,10,Macronema,838.4
Oct-97,10,Triplec,209.6
Oct-97,10,Hexatom,104.8
Oct-97,10,Ceratop,838.4
Oct-97,10,Xestoch,157.2
Oct-97,10,Tanytar,1938.8
Oct-97,10,Chirono,1362.4
Oct-97,10,Ortochl,52.4
Oct-97,10,Tanypod,2148.4
Oct-97,10,Oligoch,52.4
Nov-97,11,Ulmerit,52.4
Nov-97,11,Farrode,419.2
Nov-97,11,Anacron,52.4
Nov-97,11,Elga,52.4
Nov-97,11,Epigomp,52.4
Nov-97,11,Phyllog,52.4
Nov-97,11,Agriog ,52.4
Nov-97,11,Hexacyl,157.2
Nov-97,11,Coleopt,52.4
Nov-97,11,Phylloi,262
Nov-97,11,Macronema,262
Nov-97,11,Nectops,104.8
Nov-97,11,Triplec,314.4
Nov-97,11,Ceratop,419.2
Nov-97,11,Xestoch,52.4
Nov-97,11,Tanytar,1100.4
Nov-97,11,Chirono,1676.8
Nov-97,11,Ortochl,209.6
Nov-97,11,Tanypod,3039.2
Nov-97,11,Chrysop,52.4
Nov-97,11,Copepod,52.4
Dec-97,12,America,52.4
Dec-97,12,Ulmerit,52.4
Dec-97,12,Epigomp,52.4
Dec-97,12,Phyllog,157.2
Dec-97,12,Hexacyl,262
Dec-97,12,Phylloi,52.4
Dec-97,12,Macronema,209.6
Dec-97,12,Nectops,52.4
Dec-97,12,Triplec,262
Dec-97,12,Tipuli,419.2
Dec-97,12,Ceratop,733.6
Dec-97,12,Xestoch,52.4
Dec-97,12,Tanytar,943.2
Dec-97,12,Chirono,1362.4
Dec-97,12,Tanypod,2043.6
Dec-97,12,Oligoch,52.4
Dec-97,12,Polycha,52.4
Jan-98,13,Caenis,52.4
Jan-98,13,Farrode,366.8
Jan-98,13,Libellul,52.4
Jan-98,13,Elga,104.8
Jan-98,13,Argia,52.4
Jan-98,13,Epigomp,52.4
Jan-98,13,Hexacyl,52.4
Jan-98,13,Phylloi,366.8
Jan-98,13,Macronema,1310
Jan-98,13,Tipuli,157.2
Jan-98,13,Hexatom,52.4
Jan-98,13,Ceratop,995.6
Jan-98,13,Tanytar,1624.4
Jan-98,13,Chirono,3196.4
Jan-98,13,Ortochl,314.4
Jan-98,13,Tanypod,2305.6
Jan-98,13,Acari,52.4
Jan-98,13,Crab,52.4
Jan-98,13,Sphaeri,104.8
Feb-98,14,Epigomp,52.4
Feb-98,14,Coleopt,104.8
Feb-98,14,Phylloi,52.4
Feb-98,14,Macronema,52.4
Feb-98,14,Hexatom,52.4
Feb-98,14,Ceratop,314.4
Feb-98,14,Tanytar,1362.4
Feb-98,14,Chirono,1048
Feb-98,14,Ortochl,366.8
Feb-98,14,Tanypod,943.2
Feb-98,14,Oligoch,838.4
Feb-98,14,Hyrudin,52.4
Feb-98,14,Nematom,366.8
Feb-98,14,Copepod,52.4
Mar-98,15,Hexacyl,52.4
Mar-98,15,Macronema,52.4
Mar-98,15,Smicri ,52.4
Mar-98,15,Oecetis,52.4
Mar-98,15,Triplec,52.4
Mar-98,15,Tipuli,52.4
Mar-98,15,Hexatom,104.8
Mar-98,15,Ceratop,366.8
Mar-98,15,Xestoch,52.4
Mar-98,15,Tanytar,943.2
Mar-98,15,Chirono,1624.4
Mar-98,15,Ortochl,52.4
Mar-98,15,Tanypod,1152.8
Mar-98,15,Acari,52.4
Mar-98,15,Platyhe,104.8
Mar-98,15,Oligoch,628.8
Mar-98,15,Hyrudin,52.4
Mar-98,15,Nematom,419.2
Mar-98,15,Copepod,157.2
Apr-98,16,Farrode,52.4
Apr-98,16,Epigomp,52.4
Apr-98,16,Phyllog,52.4
Apr-98,16,Hexacyl,52.4
Apr-98,16,Macronema,52.4
Apr-98,16,Hexatom,52.4
Apr-98,16,Ceratop,628.8
Apr-98,16,Tanytar,5659.2
Apr-98,16,Chirono,1834
Apr-98,16,Ortochl,104.8
Apr-98,16,Tanypod,3510.8
May-98,17,Elga,104.8
May-98,17,Gerrida,52.4
May-98,17,Nectops,52.4
May-98,17,Ceratop,104.8
May-98,17,Tanytar,3248.8
May-98,17,Chirono,1414.8
May-98,17,Tanypod,1362.4
May-98,17,Sphaeri,52.4
May-98,17,Nematom,52.4
May-98,17,Copepod,52.4
Jun-98,18,Farrode,52.4
Jun-98,18,Epigomp,157.2
Jun-98,18,Desmog ,52.4
Jun-98,18,Hexacyl,52.4
Jun-98,18,Hexatom,104.8
Jun-98,18,Ceratop,524
Jun-98,18,Tanytar,1886.4
Jun-98,18,Chirono,943.2
Jun-98,18,Tanypod,1152.8
Jun-98,18,Oligoch,52.4
Jul-98,19,Farrode,52.4
Jul-98,19,Anacron,52.4
Jul-98,19,Agriog ,52.4
Jul-98,19,Tipuli,104.8
Jul-98,19,Ceratop,576.4
Jul-98,19,Xestoch,157.2
Jul-98,19,Tanytar,419.2
Jul-98,19,Chirono,576.4
Jul-98,19,Tanypod,943.2
Jul-98,19,Acari,52.4
Jul-98,19,Oligoch,104.8
Jul-98,19,Nematom,104.8
Aug-98,20,Phylloi,157.2
Aug-98,20,Macronema,52.4
Aug-98,20,Xestoch,104.8
Aug-98,20,Tanytar,419.2
Aug-98,20,Chirono,1624.4
Aug-98,20,Tanypod,628.8
Aug-98,20,Oligoch,104.8
Sep-98,21,Caenis,52.4
Sep-98,21,Macronema,52.4
Sep-98,21,Tipuli,104.8
Sep-98,21,Ceratop,314.4
Sep-98,21,Xestoch,52.4
Sep-98,21,Tanytar,4506.4
Sep-98,21,Chirono,2672.4
Sep-98,21,Ortochl,52.4
Sep-98,21,Tanypod,1257.6
Sep-98,21,Oligoch,52.4
Sep-98,21,Nematom,52.4
Oct-98,22,Epigomp,52.4
Oct-98,22,Phyllog,209.6
Oct-98,22,Ceratop,52.4
Oct-98,22,Xestoch,104.8
Oct-98,22,Tanytar,890.8
Oct-98,22,Chirono,366.8
Oct-98,22,Tanypod,524
Nov-98,23,Epigomp,52.4
Nov-98,23,Phyllog,104.8
Nov-98,23,Hexacyl,52.4
Nov-98,23,Triplec,209.6
Nov-98,23,Ceratop,681.2
Nov-98,23,Xestoch,314.4
Nov-98,23,Tanytar,1362.4
Nov-98,23,Chirono,2358
Nov-98,23,Ortochl,52.4
Nov-98,23,Tanypod,943.2
Nov-98,23,Chrysop,52.4
Nov-98,23,Oligoch,157.2
Nov-98,23,Nematom,52.4
Nov-98,23,Copepod,52.4
Dec-98,24,Epigomp,52.4
Dec-98,24,Phyllog,104.8
Dec-98,24,Gerrida,52.4
Dec-98,24,Ceratop,419.2
Dec-98,24,Xestoch,104.8
Dec-98,24,Tanytar,733.6
Dec-98,24,Chirono,681.2
Dec-98,24,Ortochl,52.4
Dec-98,24,Tanypod,524
Dec-98,24,Sphaeri,52.4
Dec-98,24,Oligoch,52.4
Dec-98,24,Polycha,52.4
Jan-99,25,Ulmerit,52.4
Jan-99,25,Libellul,52.4
Jan-99,25,Elga,52.4
Jan-99,25,Nectops,52.4
Jan-99,25,Ceratop,471.6
Jan-99,25,Xestoch,262
Jan-99,25,Tanytar,1781.6
Jan-99,25,Chirono,943.2
Jan-99,25,Ortochl,52.4
Jan-99,25,Tanypod,838.4
Jan-99,25,Hyrudin,52.4
Jan-99,25,Nematom,104.8
Jan-99,25,Copepod,52.4
Feb-99,26,Epigomp,52.4
Feb-99,26,Macronema,52.4
Feb-99,26,Nectops,52.4
Feb-99,26,Ceratop,262
Feb-99,26,Tanytar,2829.6
Feb-99,26,Chirono,2253.2
Feb-99,26,Ortochl,52.4
Feb-99,26,Tanypod,733.6
Feb-99,26,Acari,52.4
Feb-99,26,Oligoch,52.4
Mar-99,27,Farrode,52.4
Mar-99,27,Epigomp,104.8
Mar-99,27,Coleopt,52.4
Mar-99,27,Banyall,52.4
Mar-99,27,Macronema,52.4
Mar-99,27,Ceratop,419.2
Mar-99,27,Xestoch,52.4
Mar-99,27,Tanytar,2986.8
Mar-99,27,Chirono,3668
Mar-99,27,Ortochl,157.2
Mar-99,27,Tanypod,2462.8
Mar-99,27,Sphaeri,52.4
Mar-99,27,Oligoch,52.4
Mar-99,27,Copepod,314.4
Mar-99,27,Collemb,52.4
Apr-99,28,Hexacyl,52.4
Apr-99,28,Ceratop,104.8
Apr-99,28,Xestoch,52.4
Apr-99,28,Tanytar,628.8
Apr-99,28,Chirono,681.2
Apr-99,28,Tanypod,995.6
May-99,29,Ulmerit,52.4
May-99,29,Phyllog,104.8
May-99,29,Hexacyl,52.4
May-99,29,Ceratop,157.2
May-99,29,Xestoch,52.4
May-99,29,Tanytar,2724.8
May-99,29,Chirono,4401.6
May-99,29,Tanypod,1676.8
May-99,29,Oligoch,52.4
Jun-99,30,Epigomp,52.4
Jun-99,30,Phyllog,52.4
Jun-99,30,Hexacyl,314.4
Jun-99,30,Gyrete ,52.4
Jun-99,30,Triplec,209.6
Jun-99,30,Tipuli,52.4
Jun-99,30,Ceratop,52.4
Jun-99,30,Xestoch,52.4
Jun-99,30,Tanytar,6654.8
Jun-99,30,Chirono,5344.8
Jun-99,30,Ortochl,209.6
Jun-99,30,Tanypod,3091.6
Jun-99,30,Chrysop,52.4
Jun-99,30,Clognia,104.8
Jul-99,31,Ulmerit,104.8
Jul-99,31,Epigomp,262
Jul-99,31,Phyllog,52.4
Jul-99,31,Hexacyl,733.6
Jul-99,31,Gyrete ,52.4
Jul-99,31,Phylloi,104.8
Jul-99,31,Macronema,52.4
Jul-99,31,Triplec,104.8
Jul-99,31,Ceratop,262
Jul-99,31,Xestoch,157.2
Jul-99,31,Tanytar,4139.6
Jul-99,31,Chirono,1676.8
Jul-99,31,Ortochl,104.8
Jul-99,31,Tanypod,4244.4
Jul-99,31,Crab,52.4
Jul-99,31,Nematom,52.4
Aug-99,32,Farrode,209.6
Aug-99,32,Epigomp,157.2
Aug-99,32,Triplec,52.4
Aug-99,32,Ceratop,104.8
Aug-99,32,Xestoch,157.2
Aug-99,32,Tanytar,3930
Aug-99,32,Chirono,2672.4
Aug-99,32,Tanypod,2200.8
Aug-99,32,Oligoch,52.4
Set-99,33,Farrode,52.4
Set-99,33,Elga,52.4
Set-99,33,Phyllog,104.8
Set-99,33,Agriog ,52.4
Set-99,33,Hexacyl,157.2
Set-99,33,Nectops,52.4
Set-99,33,Oecetis,52.4
Set-99,33,Polycen,52.4
Set-99,33,Ceratop,209.6
Set-99,33,Xestoch,104.8
Set-99,33,Tanytar,3877.6
Set-99,33,Chirono,3615.6
Set-99,33,Ortochl,104.8
Set-99,33,Tanypod,1886.4
Oct-99,34,Epigomp,52.4
Oct-99,34,Desmog ,52.4
Oct-99,34,Phyllog,52.4
Oct-99,34,Hexacyl,157.2
Oct-99,34,Ceratop,628.8
Oct-99,34,Xestoch,52.4
Oct-99,34,Tanytar,4558.8
Oct-99,34,Chirono,3877.6
Oct-99,34,Ortochl,52.4
Oct-99,34,Tanypod,2462.8
Nov-99,35,Phyllog,52.4
Nov-99,35,Phylloi,52.4
Nov-99,35,Ceratop,209.6
Nov-99,35,Tanytar,4401.6
Nov-99,35,Chirono,3563.2
Nov-99,35,Ortochl,52.4
Nov-99,35,Tanypod,838.4
Nov-99,35,Oligoch,52.4
Nov-99,35,Nematom,52.4
Dec-99,36,Calliba,52.4
Dec-99,36,Hexacyl,52.4
Dec-99,36,Tanytar,2724.8
Dec-99,36,Chirono,1572
Dec-99,36,Tanypod,628.8
Dec-99,36,Acari,52.4
Jan-00,37,Hexacyl,52.4
Jan-00,37,Ceratop,104.8
Jan-00,37,Tanytar,2829.6
Jan-00,37,Chirono,1938.8
Jan-00,37,Tanypod,890.8
Feb-00,38,Farrode,52.4
Feb-00,38,Phylloi,104.8
Feb-00,38,Macronema,52.4
Feb-00,38,Tanytar,1991.2
Feb-00,38,Chirono,2200.8
Feb-00,38,Ortochl,104.8
Feb-00,38,Tanypod,1310
Feb-00,38,Copepod,104.8
Mar-00,39,Ceratop,52.4
Mar-00,39,Tanytar,1257.6
Mar-00,39,Chirono,2200.8
Mar-00,39,Tanypod,524
Mar-00,39,Hyrudin,104.8
Apr-00,40,Caenis,104.8
Apr-00,40,Farrode,209.6
Apr-00,40,Phyllog,52.4
Apr-00,40,Hexacyl,104.8
Apr-00,40,Tipuli,52.4
Apr-00,40,Ceratop,838.4
Apr-00,40,Xestoch,52.4
Apr-00,40,Tanytar,2253.2
Apr-00,40,Chirono,1100.4
Apr-00,40,Ortochl,471.6
Apr-00,40,Tanypod,1310
Apr-00,40,Clognia,52.4
Apr-00,40,Acari,52.4
Apr-00,40,Platyhe,52.4
Apr-00,40,Copepod,104.8
May-00,41,Farrode,104.8
May-00,41,Argia,52.4
May-00,41,Ceratop,262
May-00,41,Tanytar,890.8
May-00,41,Chirono,1100.4
May-00,41,Tanypod,995.6
May-00,41,Clognia,104.8
May-00,41,Sphaeri,104.8
Jun-00,42,Farrode,52.4
Jun-00,42,Macroth ,52.4
Jun-00,42,Desmog ,104.8
Jun-00,42,Hexacyl,262
Jun-00,42,Hexatom,52.4
Jun-00,42,Ceratop,419.2
Jun-00,42,Tanytar,1257.6
Jun-00,42,Chirono,471.6
Jun-00,42,Tanypod,2043.6
Jun-00,42,Platyhe,52.4
Jul-00,43,Farrode,52.4
Jul-00,43,Epigomp,52.4
Jul-00,43,Desmog ,52.4
Jul-00,43,Hexacyl,419.2
Jul-00,43,Phylloi,104.8
Jul-00,43,Marilia,52.4
Jul-00,43,Nectops,52.4
Jul-00,43,Ceratop,576.4
Jul-00,43,Tanytar,2515.2
Jul-00,43,Chirono,838.4
Jul-00,43,Ortochl,104.8
Jul-00,43,Tanypod,1467.2
Aug-00,44,Epigomp,157.2
Aug-00,44,Hexacyl,104.8
Aug-00,44,Phylloi,52.4
Aug-00,44,Ceratop,52.4
Aug-00,44,Forcipo,314.4
Aug-00,44,Tanytar,1100.4
Aug-00,44,Chirono,524
Aug-00,44,Ortochl,104.8
Aug-00,44,Tanypod,1310
Aug-00,44,Neoplas,52.4
Aug-00,44,Acari,52.4
Aug-00,44,Platyhe,52.4
Aug-00,44,Oligoch,52.4
Set-00,45,Epigomp,52.4
Set-00,45,Phyllog,52.4
Set-00,45,Hexacyl,52.4
Set-00,45,Macronema,52.4
Set-00,45,Ceratop,157.2
Set-00,45,Xestoch,52.4
Set-00,45,Tanytar,1100.4
Set-00,45,Chirono,1152.8
Set-00,45,Tanypod,471.6
Set-00,45,Platyhe,104.8
Set-00,45,Oligoch,52.4
Set-00,45,Polycha,52.4
Oct-00,46,Tanytar,314.4
Oct-00,46,Chirono,314.4
Oct-00,46,Tanypod,157.2
Nov-00,47,Phyllog,52.4
Nov-00,47,Tanytar,733.6
Nov-00,47,Chirono,419.2
Nov-00,47,Tanypod,366.8
Nov-00,47,Neoplas,52.4
Nov-00,47,Polycha,52.4
Nov-00,47,Nematom,104.8
Dec-00,48,Farrode,52.4
Dec-00,48,Hexacyl,52.4
Dec-00,48,Ptiloda,52.4
Dec-00,48,Macronema,104.8
Dec-00,48,Ceratop,262
Dec-00,48,Xestoch,104.8
Dec-00,48,Tanytar,786
Dec-00,48,Chirono,1834
Dec-00,48,Tanypod,628.8
Dec-00,48,Platyhe,52.4
Dec-00,48,Oligoch,52.4
Dec-00,48,Polycha,52.4
Jan-01,49,Farrode,52.4
Jan-01,49,Phyllog,52.4
Jan-01,49,Ceratop,104.8
Jan-01,49,Xestoch,52.4
Jan-01,49,Tanytar,786
Jan-01,49,Chirono,2148.4
Jan-01,49,Tanypod,471.6
Jan-01,49,Neoplas,52.4
Feb-01,50,Mayoba ,52.4
Feb-01,50,Calliba,52.4
Feb-01,50,Argia,52.4
Feb-01,50,Epigomp,52.4
Feb-01,50,Hexacyl,157.2
Feb-01,50,Smicri ,104.8
Feb-01,50,Atopsyche,52.4
Feb-01,50,Ceratop,209.6
Feb-01,50,Xestoch,52.4
Feb-01,50,Tanytar,7545.6
Feb-01,50,Chirono,6130.8
Feb-01,50,Tanypod,733.6
Mar-01,51,Epigomp,52.4
Mar-01,51,Phyllog,104.8
Mar-01,51,Hexacyl,314.4
Mar-01,51,Macronema,419.2
Mar-01,51,Ceratop,1048
Mar-01,51,Tanytar,10532.4
Mar-01,51,Chirono,4034.8
Mar-01,51,Tanypod,3248.8
Mar-01,51,Acari,209.6
Mar-01,51,Oligoch,471.6
Mar-01,51,Nematom,314.4
Apr-01,52,Hexacyl,104.8
Apr-01,52,Phylloi,104.8
Apr-01,52,Macronema,104.8
Apr-01,52,Ceratop,524
Apr-01,52,Tanytar,5082.8
Apr-01,52,Chirono,2620
Apr-01,52,Tanypod,1152.8
Apr-01,52,Oligoch,366.8
May-01,53,America,52.4
May-01,53,Caenis,52.4
May-01,53,Farrode,52.4
May-01,53,Phyllog,104.8
May-01,53,Phylloi,52.4
May-01,53,Ceratop,576.4
May-01,53,Tanytar,6340.4
May-01,53,Chirono,1834
May-01,53,Ortochl,52.4
May-01,53,Tanypod,1414.8
May-01,53,Neoplas,52.4
May-01,53,Oligoch,576.4
May-01,53,Polycha,52.4
May-01,53,Copepod,104.8
Jun-01,54,Ceratop,209.6
Jun-01,54,Tanytar,419.2
Jun-01,54,Chirono,471.6
Jun-01,54,Ortochl,157.2
Jun-01,54,Tanypod,209.6
Jun-01,54,Oligoch,209.6
Jul-01,55,Epigomp,52.4
Jul-01,55,Sialis ,52.4
Jul-01,55,Ceratop,314.4
Jul-01,55,Tanytar,681.2
Jul-01,55,Chirono,890.8
Jul-01,55,Tanypod,524
Jul-01,55,Oligoch,157.2
Jul-01,55,Nematom,104.8
Jul-01,55,Copepod,157.2
Aug-01,56,Farrode,52.4
Aug-01,56,Epigomp,52.4
Aug-01,56,Hexacyl,104.8
Aug-01,56,Ceratop,471.6
Aug-01,56,Tanytar,1205.2
Aug-01,56,Chirono,1257.6
Aug-01,56,Tanypod,524
Aug-01,56,Oligoch,419.2
Aug-01,56,Nematom,52.4
Aug-01,56,Copepod,209.6
Set-2001,57,Agriog ,52.4
Set-2001,57,Hexacyl,52.4
Set-2001,57,Gyrete ,52.4
Set-2001,57,Macronema,52.4
Set-2001,57,Ceratop,733.6
Set-2001,57,Xestoch,52.4
Set-2001,57,Tanytar,1152.8
Set-2001,57,Chirono,1676.8
Set-2001,57,Ortochl,52.4
Set-2001,57,Tanypod,1519.6
Set-2001,57,Oligoch,209.6
Set-2001,57,Copepod,209.6
Oct-01,58,Farrode,52.4
Oct-01,58,Hexacyl,52.4
Oct-01,58,Marilia,52.4
Oct-01,58,Ceratop,366.8
Oct-01,58,Xestoch,52.4
Oct-01,58,Tanytar,419.2
Oct-01,58,Chirono,995.6
Oct-01,58,Ortochl,104.8
Oct-01,58,Tanypod,209.6
Oct-01,58,Oligoch,419.2
Oct-01,58,Nematom,419.2
Oct-01,58,Copepod,209.6
Nov-01,59,Ceratop,157.2
Nov-01,59,Tanytar,209.6
Nov-01,59,Chirono,733.6
Nov-01,59,Tanypod,104.8
Nov-01,59,Nematom,104.8
Nov-01,59,Copepod,209.6
Dec-01,60,Farrode,52.4
Dec-01,60,Ceratop,104.8
Dec-01,60,Tanytar,52.4
Dec-01,60,Chirono,681.2
Dec-01,60,Tanypod,262
Dec-01,60,Nematom,262
Dec-01,60,Copepod,104.8
Jan-02,61,Elga,52.4
Jan-02,61,Phyllog,157.2
Jan-02,61,Banyall,52.4
Jan-02,61,Nectops,52.4
Jan-02,61,Ceratop,104.8
Jan-02,61,Xestoch,52.4
Jan-02,61,Tanytar,262
Jan-02,61,Chirono,1257.6
Jan-02,61,Tanypod,157.2
Jan-02,61,Oligoch,209.6
Jan-02,61,Nematom,52.4
Jan-02,61,Copepod,52.4
Feb-02,62,Phyllog,52.4
Feb-02,62,Macronema,104.8
Feb-02,62,Ceratop,419.2
Feb-02,62,Xestoch,52.4
Feb-02,62,Tanytar,366.8
Feb-02,62,Chirono,943.2
Feb-02,62,Ortochl,104.8
Feb-02,62,Tanypod,366.8
Feb-02,62,Nematom,366.8
Feb-02,62,Copepod,157.2
Mar-02,63,Farrode,52.4
Mar-02,63,Agriog ,52.4
Mar-02,63,Rhagov ,52.4
Mar-02,63,Hexacyl,52.4
Mar-02,63,Banyall,104.8
Mar-02,63,Macronema,471.6
Mar-02,63,Ceratop,995.6
Mar-02,63,Xestoch,104.8
Mar-02,63,Tanytar,5868.8
Mar-02,63,Chirono,1257.6
Mar-02,63,Ortochl,419.2
Mar-02,63,Tanypod,1362.4
Mar-02,63,Clognia,52.4
Mar-02,63,Oligoch,157.2
Mar-02,63,Nematom,262
Mar-02,63,Copepod,52.4
Mar-02,63,Collemb,52.4
Apr-02,64,Caenis,52.4
Apr-02,64,Farrode,52.4
Apr-02,64,Elga,52.4
Apr-02,64,Hexacyl,157.2
Apr-02,64,Marilia,52.4
Apr-02,64,Macronema,209.6
Apr-02,64,Ceratop,733.6
Apr-02,64,Tanytar,2096
Apr-02,64,Chirono,3720.4
Apr-02,64,Ortochl,1362.4
Apr-02,64,Tanypod,1938.8
Apr-02,64,Neoplas,52.4
Apr-02,64,Acari,104.8
Apr-02,64,Oligoch,262
Apr-02,64,Copepod,52.4
May-02,65,Rhagov ,52.4
May-02,65,Hexacyl,104.8
May-02,65,Ceratop,524
May-02,65,Xestoch,52.4
May-02,65,Tanytar,471.6
May-02,65,Chirono,1624.4
May-02,65,Tanypod,1362.4
May-02,65,Neoplas,52.4
May-02,65,Polycha,52.4
May-02,65,Nematom,157.2
May-02,65,Copepod,262
Jun-02,66,Libellul,52.4
Jun-02,66,Desmog ,52.4
Jun-02,66,Rhagov ,52.4
Jun-02,66,Hexatom,52.4
Jun-02,66,Ceratop,262
Jun-02,66,Tanytar,52.4
Jun-02,66,Chirono,262
Jun-02,66,Ortochl,157.2
Jun-02,66,Tanypod,786
Jun-02,66,Oligoch,104.8
Jun-02,66,Nematom,52.4
Jul-02,67,Farrode,104.8
Jul-02,67,Epigomp,52.4
Jul-02,67,Phyllog,52.4
Jul-02,67,Hexacyl,104.8
Jul-02,67,Triplec,52.4
Jul-02,67,Hexatom,104.8
Jul-02,67,Ceratop,419.2
Jul-02,67,Xestoch,157.2
Jul-02,67,Tanytar,52.4
Jul-02,67,Chirono,995.6
Jul-02,67,Ortochl,52.4
Jul-02,67,Tanypod,890.8
Jul-02,67,Oligoch,52.4
